Start time: 2011-4-1 16:02:07
Channels:1
Time [ms],Y1 label
15627,170.000,0.000
15628,171.000,0.000
15629,172.000,0.000
15630,172.000,0.000
15631,172.000,0.000
15632,172.000,0.000
15633,171.000,0.000
15634,170.000,0.000
15635,170.000,0.000
15636,170.000,0.000
15637,171.000,0.000
15638,172.000,0.000
15639,172.000,0.000
15640,172.000,0.000
15641,172.000,0.000
15642,171.000,0.000
15643,170.000,0.000
15644,171.000,0.000
15645,171.000,0.000
15646,172.000,0.000
15647,172.000,0.000
15648,173.000,0.000
15649,173.000,0.000
15650,172.000,0.000
15651,171.000,0.000
15652,170.000,0.000
15653,171.000,0.000
15654,172.000,0.000
15655,172.000,0.000
15656,173.000,0.000
15657,173.000,0.000
15658,172.000,0.000
15659,171.000,0.000
15660,171.000,0.000
15661,171.000,0.000
15662,171.000,0.000
15663,171.000,0.000
15664,172.000,0.000
15665,173.000,0.000
15666,172.000,0.000
15667,171.000,0.000
15668,171.000,0.000
15669,170.000,0.000
15670,171.000,0.000
15671,171.000,0.000
15672,172.000,0.000
15673,173.000,0.000
15674,173.000,0.000
15675,172.000,0.000
15676,171.000,0.000
15677,171.000,0.000
15678,171.000,0.000
15679,171.000,0.000
15680,172.000,0.000
15681,173.000,0.000
15682,173.000,0.000
15683,173.000,0.000
15684,172.000,0.000
15685,171.000,0.000
15686,171.000,0.000
15687,171.000,0.000
15688,171.000,0.000
15689,172.000,0.000
15690,173.000,0.000
15691,172.000,0.000
15692,172.000,0.000
15693,171.000,0.000
15694,171.000,0.000
15695,170.000,0.000
15696,171.000,0.000
15697,172.000,0.000
15698,173.000,0.000
15699,173.000,0.000
15700,173.000,0.000
15701,172.000,0.000
15702,171.000,0.000
15703,170.000,0.000
15704,170.000,0.000
15705,171.000,0.000
15706,172.000,0.000
15707,172.000,0.000
15708,172.000,0.000
15709,172.000,0.000
15710,171.000,0.000
15711,170.000,0.000
15712,170.000,0.000
15713,171.000,0.000
15714,172.000,0.000
15715,172.000,0.000
15716,173.000,0.000
15717,173.000,0.000
15718,172.000,0.000
15719,171.000,0.000
15720,171.000,0.000
15721,171.000,0.000
15722,171.000,0.000
15723,172.000,0.000
15724,172.000,0.000
15725,173.000,0.000
15726,172.000,0.000
15727,171.000,0.000
15728,170.000,0.000
15729,170.000,0.000
15730,171.000,0.000
15731,171.000,0.000
15732,172.000,0.000
15733,173.000,0.000
15734,173.000,0.000
15735,172.000,0.000
15736,171.000,0.000
15737,171.000,0.000
15738,171.000,0.000
15739,171.000,0.000
